model,strategy,task,level,n_samples,accuracy,correct,ci95_lower,ci95_upper
gpt-5.1-(reasoning effort low)-(tool use),tool_use,rushhour,3,30,0.3,9,0.16664748268243793,0.47875787458714947
gpt-5.1-(reasoning effort low)-(tool use),tool_use,rushhour,4,30,0.0,0,0.0,0.11351339317396876
gpt-5.1-(reasoning effort low)-(tool use),tool_use,rushhour,5,30,0.0,0,0.0,0.11351339317396876
humans,human_average,rushhour,2,30,0.9866666666666667,29.6,,
humans,human_average,rushhour,3,30,0.8466666666666667,25.4,,
humans,human_average,rushhour,4,30,0.6599999999999999,19.8,,
humans,human_average,rushhour,5,30,0.5599999999999999,16.8,,
mirage,simple,rushhour,1,30,1.0,30,0.8864866068260312,0.9999999999999999
mirage,simple,rushhour,2,30,0.9666666666666667,29,0.8332960900859082,0.9940914096183874
mirage,simple,rushhour,3,30,0.5,15,0.33154125640533766,0.6684587435946623
mirage,simple,rushhour,4,30,0.26666666666666666,8,0.14182663319596317,0.4444796169518888
mirage,simple,rushhour,5,30,0.1,3,0.03459988874733419,0.25621082579184085
mirage,simple,sliding-puzzle,1,30,0.9333333333333333,28,0.7867654163738308,0.9815229762087295
mirage,simple,sliding-puzzle,2,30,0.8333333333333334,25,0.6643564949358398,0.9266345762815145
mirage,simple,sliding-puzzle,3,30,0.7,21,0.5212421254128504,0.8333525173175619
mirage,simple,sliding-puzzle,4,30,0.7666666666666667,23,0.5907167384187784,0.8820761185551049
mirage,simple,sliding-puzzle,5,30,0.8,24,0.6269430358685175,0.9049489282271013
qwen3-vl-235b-a22b-thinking,icl,rushhour,1,30,0.6,18,0.42320360253322475,0.7540937188319815
qwen3-vl-235b-a22b-thinking,icl,rushhour,2,30,0.5,15,0.33154125640533766,0.6684587435946623
qwen3-vl-235b-a22b-thinking,icl,rushhour,3,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
qwen3-vl-235b-a22b-thinking,icl,rushhour,4,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,icl,rushhour,5,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,icl_intermediate_images,rushhour,1,30,0.7666666666666667,23,0.5907167384187784,0.8820761185551049
qwen3-vl-235b-a22b-thinking,icl_intermediate_images,rushhour,2,30,0.5333333333333333,16,0.36142299619873297,0.6976761109230025
qwen3-vl-235b-a22b-thinking,icl_intermediate_images,rushhour,3,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
qwen3-vl-235b-a22b-thinking,icl_intermediate_images,rushhour,4,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,icl_intermediate_images,rushhour,5,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,simple,form-board,1,30,0.7,21,0.5212421254128504,0.8333525173175619
qwen3-vl-235b-a22b-thinking,simple,form-board,2,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
qwen3-vl-235b-a22b-thinking,simple,form-board,3,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
qwen3-vl-235b-a22b-thinking,simple,form-board,4,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,simple,form-board,5,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,simple,hinge-folding,1,30,0.7666666666666667,23,0.5907167384187784,0.8820761185551049
qwen3-vl-235b-a22b-thinking,simple,hinge-folding,2,30,0.4666666666666667,14,0.30232388907699753,0.638577003801267
qwen3-vl-235b-a22b-thinking,simple,hinge-folding,3,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
qwen3-vl-235b-a22b-thinking,simple,hinge-folding,4,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
qwen3-vl-235b-a22b-thinking,simple,hinge-folding,5,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
qwen3-vl-235b-a22b-thinking,simple,paper-fold,1,30,0.26666666666666666,8,0.14182663319596317,0.4444796169518888
qwen3-vl-235b-a22b-thinking,simple,paper-fold,2,30,0.3,9,0.16664748268243793,0.47875787458714947
qwen3-vl-235b-a22b-thinking,simple,paper-fold,3,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
qwen3-vl-235b-a22b-thinking,simple,paper-fold,4,30,0.36666666666666664,11,0.21873920806100708,0.5448643634520511
qwen3-vl-235b-a22b-thinking,simple,paper-fold,5,30,0.3333333333333333,10,0.19230498083676134,0.5121994835545616
qwen3-vl-235b-a22b-thinking,simple,rushhour,1,30,0.2,6,0.0950510717728987,0.3730569641314825
qwen3-vl-235b-a22b-thinking,simple,rushhour,2,30,0.8,24,0.6269430358685175,0.9049489282271013
qwen3-vl-235b-a22b-thinking,simple,rushhour,3,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
qwen3-vl-235b-a22b-thinking,simple,rushhour,4,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
qwen3-vl-235b-a22b-thinking,simple,rushhour,5,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,simple,sliding-puzzle,1,30,0.26666666666666666,8,0.14182663319596317,0.4444796169518888
qwen3-vl-235b-a22b-thinking,simple,sliding-puzzle,2,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
qwen3-vl-235b-a22b-thinking,simple,sliding-puzzle,3,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
qwen3-vl-235b-a22b-thinking,simple,sliding-puzzle,4,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,simple,sliding-puzzle,5,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,simple_text,rushhour,1,30,0.0,0,0.0,0.11351339317396876
qwen3-vl-235b-a22b-thinking,simple_text,rushhour,2,30,0.8,24,0.6269430358685175,0.9049489282271013
qwen3-vl-235b-a22b-thinking,simple_text,rushhour,3,30,0.4,12,0.24590628116801852,0.5767963974667752
qwen3-vl-235b-a22b-thinking,simple_text,rushhour,4,30,0.1,3,0.03459988874733419,0.25621082579184085
qwen3-vl-235b-a22b-thinking,simple_text,rushhour,5,30,0.0,0,0.0,0.11351339317396876
veo-3.1-generate-preview,video_generation,rushhour,1,30,1.0,30,0.8864866068260312,0.9999999999999999
veo-3.1-generate-preview,video_generation,rushhour,2,30,0.4,12,0.24590628116801852,0.5767963974667752
veo-3.1-generate-preview,video_generation,rushhour,3,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
veo-3.1-generate-preview,video_generation,rushhour,4,30,0.0,0,0.0,0.11351339317396876
veo-3.1-generate-preview,video_generation,rushhour,5,30,0.0,0,0.0,0.11351339317396876
wan-2.6,video_generation,rushhour,1,30,0.9666666666666667,29,0.8332960900859082,0.9940914096183874
wan-2.6,video_generation,rushhour,2,30,0.1,3,0.03459988874733419,0.25621082579184085
wan-2.6,video_generation,rushhour,3,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
wan-2.6,video_generation,rushhour,4,30,0.0,0,0.0,0.11351339317396876
wan-2.6,video_generation,rushhour,5,30,0.0,0,0.0,0.11351339317396876
